mes,produccion_litros,radiacion_Wm2,GOR,eficiencia_termica,perdida_total,temp_agua_C,temp_ambiente_C,humedad_relativa,velocidad_viento,energia_solar,energia_util,energia_evaporacion,nombre_mes,estacion
1,0.0,185.85722046315294,0.00040112040681867904,0.36021715944359667,14.251059395992069,40.708462472094055,25.83988483504182,41.873471956109206,1.7685477545465633,10912406.772951407,3964530.3578089857,5377.1470348597795,Enero,Invierno
2,0.033354767951736745,314.54080173631434,0.01767946322986364,0.3758677442054102,20.251139151303075,46.70450879165794,21.5412446527528,52.53880256832509,1.2381934434361233,17276445.80171673,6513039.690701591,321258.2241079278,Febrero,Invierno
3,0.28249695974089395,501.5600668500476,0.08176757388947654,0.38395116626407927,32.33152625526484,54.36826611657093,14.243460768567124,60.66824962217741,1.2826452068581577,29448559.797124013,11305130.000086194,2351437.9380046725,Marzo,Primavera
4,0.598035700347264,675.2880186701308,0.10574931041969862,0.385379781128935,40.86526277788077,62.7874775199475,8.76443602633705,71.23051233710085,1.1133808744061924,38369815.750787735,14849724.779638173,4065547.9257281637,Abril,Primavera
5,0.7533357488237482,790.7043680642928,0.09626554285339911,0.36286634882904917,56.55854814119485,67.71708391116493,4.460734466021506,79.055731823981,1.620356052628435,46425356.41050163,16866177.078438386,4443137.056805935,Mayo,Primavera
6,0.8061345195804375,861.4676702111415,0.09468089373731964,0.3555945820269047,68.8058863164586,70.83028987213638,1.9128762552450487,84.52923073325286,2.036788879353158,48948529.912254356,17411189.12686257,4606979.522576806,Junio,Verano
7,0.669130844024418,811.0956567385148,0.08131765932817915,0.35127058065021693,71.96580860224118,69.47198556998889,4.584333030907697,77.36428344762537,2.478983732792063,47622608.99010696,16729117.63628226,3850624.477331913,Julio,Verano
8,0.3711494167308611,672.5616585674858,0.06797569473367363,0.35,65.5048691941378,62.97511601403227,9.170183328633406,71.71913202557558,2.885781228507555,39488734.30846507,13821057.007962773,2628709.3986089574,Agosto,Verano
9,0.1152160797572431,488.04122055479127,0.04060385253494626,0.35,46.6600667633378,54.601400656633174,15.558103012249875,58.43908972354556,2.767218437549525,27730466.399144467,9705663.239700563,1017377.2244080112,Septiembre,Otoño
10,0.011671560322943841,331.399168160185,0.009048011145934069,0.35,33.703830383809546,47.23454948769632,20.722616034881522,53.08283794447796,3.005966611946259,19457745.67256388,6810210.9853973575,183793.90015284822,Octubre,Otoño
11,0.0,224.40956585302737,0.00018689545161226887,0.35,21.20801070446604,43.259222468755965,25.306457200513773,44.41761791322192,2.6637763944412454,12750935.092039695,4462827.282213894,3447.6643111902813,Noviembre,Otoño
12,0.0,153.32134313218188,0.0,0.3517792219002741,13.648702832606002,38.811453381117225,26.54574593054268,41.35273367906589,2.337129291016559,8711707.484801158,3069512.2553717014,0.0,Diciembre,Invierno
